TimeUS,Type,Lat,Lng,Alt
682145125,EKF,36.0757714,136.2132918,1.1299999952316284
682162262,GPS,36.0757714,136.2132922,1.18
682182336,GPS,36.0757714,136.2132922,1.18
682202318,GPS,36.0757714,136.2132922,1.18
682242546,GPS,36.0757714,136.2132923,1.18
682245168,EKF,36.0757714,136.2132919,1.1299999952316284
682262366,GPS,36.0757714,136.2132923,1.18
682282356,GPS,36.0757714,136.2132923,1.18
682322513,GPS,36.0757714,136.2132924,1.18
682342511,GPS,36.0757714,136.2132924,1.18
682345122,EKF,36.0757714,136.213292,1.1299999952316284
682362284,GPS,36.0757714,136.2132925,1.18
682382333,GPS,36.0757714,136.2132925,1.18
682422514,GPS,36.0757714,136.2132926,1.18
682442620,GPS,36.0757714,136.2132926,1.18
682445353,EKF,36.0757715,136.2132923,1.1299999952316284
682462283,GPS,36.0757714,136.2132927,1.18
682482361,GPS,36.0757714,136.2132927,1.18
682502366,GPS,36.0757714,136.2132928,1.18
682522611,GPS,36.0757714,136.2132929,1.19
682545118,EKF,36.0757715,136.2132926,1.1299999952316284
682562288,GPS,36.0757714,136.213293,1.19
682582356,GPS,36.0757714,136.213293,1.19
682602362,GPS,36.0757714,136.213293,1.19
682622526,GPS,36.0757715,136.213293,1.19
682645125,EKF,36.0757715,136.213293,1.1299999952316284
682662270,GPS,36.0757715,136.2132933,1.19
682702360,GPS,36.0757715,136.2132934,1.19
682742656,GPS,36.0757715,136.2132934,1.19
682745446,EKF,36.0757715,136.2132933,1.1299999952316284
682762354,GPS,36.0757715,136.2132935,1.19
682782310,GPS,36.0757715,136.2132935,1.19
682802304,GPS,36.0757716,136.2132935,1.19
682822605,GPS,36.0757716,136.2132937,1.19
682845108,EKF,36.0757716,136.2132937,1.1299999952316284
682862318,GPS,36.0757716,136.2132938,1.19
682902328,GPS,36.0757716,136.2132938,1.19
682922495,GPS,36.0757716,136.2132939,1.19
682945433,EKF,36.0757717,136.2132939,1.1399999856948853
682962256,GPS,36.0757717,136.213294,1.19
682982308,GPS,36.0757717,136.213294,1.19
683002362,GPS,36.0757717,136.2132941,1.19
683022518,GPS,36.0757717,136.2132941,1.19
683045123,EKF,36.0757718,136.2132942,1.1399999856948853
683082274,GPS,36.0757718,136.2132942,1.19
683122546,GPS,36.0757718,136.2132942,1.19
683142530,GPS,36.0757718,136.2132942,1.19
683145242,EKF,36.0757719,136.2132943,1.1399999856948853
683162372,GPS,36.0757718,136.2132942,1.19
683202285,GPS,36.0757719,136.2132942,1.19
683222525,GPS,36.0757719,136.2132943,1.19
683242545,GPS,36.0757719,136.2132943,1.19
683245137,EKF,36.075772,136.2132944,1.1399999856948853
683282324,GPS,36.0757719,136.2132943,1.19
683302371,GPS,36.075772,136.2132943,1.19
683342644,GPS,36.075772,136.2132943,1.19
683345207,EKF,36.0757721,136.2132945,1.1399999856948853
683362371,GPS,36.075772,136.2132943,1.19
683382280,GPS,36.075772,136.2132943,1.19
683402342,GPS,36.0757721,136.2132943,1.19
683422494,GPS,36.0757721,136.2132943,1.19
683442534,GPS,36.0757721,136.2132943,1.19
683445143,EKF,36.0757722,136.2132945,1.1399999856948853
683482351,GPS,36.0757722,136.2132943,1.19
683522505,GPS,36.0757722,136.2132943,1.19
683542509,GPS,36.0757722,136.2132943,1.19
683545120,EKF,36.0757724,136.2132945,1.1399999856948853
683582327,GPS,36.0757722,136.2132943,1.19
683602376,GPS,36.0757722,136.2132942,1.19
683642611,GPS,36.0757722,136.2132942,1.19
683645160,EKF,36.0757725,136.2132945,1.1399999856948853
683662304,GPS,36.0757724,136.2132942,1.18
683682329,GPS,36.0757724,136.2132942,1.18
683722649,GPS,36.0757725,136.2132942,1.18
683742533,GPS,36.0757725,136.2132942,1.18
683745192,EKF,36.0757727,136.2132945,1.1299999952316284
683782346,GPS,36.0757725,136.2132942,1.18
683802313,GPS,36.0757726,136.2132942,1.18
683822493,GPS,36.0757726,136.2132943,1.18
683845125,EKF,36.0757728,136.2132945,1.1299999952316284
683862317,GPS,36.0757726,136.2132943,1.18
683882291,GPS,36.0757726,136.2132943,1.18
683902360,GPS,36.0757727,136.2132943,1.18
683922509,GPS,36.0757727,136.2132943,1.18
683942519,GPS,36.0757727,136.2132943,1.18
683945128,EKF,36.0757729,136.2132946,1.1299999952316284
683962294,GPS,36.0757727,136.2132943,1.17
683982308,GPS,36.0757727,136.2132943,1.17
684002348,GPS,36.0757727,136.2132944,1.17
684022648,GPS,36.0757728,136.2132944,1.17
684042511,GPS,36.0757728,136.2132944,1.17
684045154,EKF,36.075773,136.2132946,1.1299999952316284
684062299,GPS,36.0757728,136.2132944,1.17
684082266,GPS,36.0757728,136.2132944,1.17
684122525,GPS,36.0757728,136.2132945,1.17
684145108,EKF,36.075773,136.2132947,1.1200000047683716
684162243,GPS,36.0757728,136.2132945,1.17
684182277,GPS,36.0757728,136.2132946,1.17
684202355,GPS,36.0757728,136.2132946,1.17
684222523,GPS,36.0757728,136.2132946,1.17
684242491,GPS,36.0757728,136.2132946,1.17
684245129,EKF,36.075773,136.2132949,1.1200000047683716
684262296,GPS,36.0757728,136.2132947,1.17
684302327,GPS,36.0757728,136.2132947,1.17
684322567,GPS,36.0757728,136.2132947,1.16
684342524,GPS,36.0757728,136.2132948,1.16
684345130,EKF,36.075773,136.213295,1.1200000047683716
684382354,GPS,36.0757728,136.2132948,1.16
684422621,GPS,36.0757728,136.2132948,1.16
684442626,GPS,36.0757727,136.2132949,1.16
684445156,EKF,36.075773,136.2132951,1.1200000047683716
684462338,GPS,36.0757727,136.2132949,1.16
684502329,GPS,36.0757727,136.2132949,1.16
684522513,GPS,36.0757727,136.2132949,1.16
684542505,GPS,36.0757727,136.2132949,1.16
684545113,EKF,36.0757729,136.2132951,1.1299999952316284
684582378,GPS,36.0757726,136.2132949,1.16
684602360,GPS,36.0757726,136.2132949,1.16
684622518,GPS,36.0757726,136.2132949,1.16
684642518,GPS,36.0757725,136.2132949,1.16
684645126,EKF,36.0757728,136.2132951,1.1299999952316284
684662288,GPS,36.0757725,136.2132949,1.16
684702379,GPS,36.0757725,136.2132949,1.16
684722549,GPS,36.0757725,136.2132949,1.16
684742660,GPS,36.0757724,136.2132949,1.16
684745280,EKF,36.0757727,136.2132951,1.1299999952316284
684782324,GPS,36.0757724,136.2132948,1.16
684822603,GPS,36.0757722,136.2132947,1.16
684845153,EKF,36.0757726,136.2132949,1.1299999952316284
684862273,GPS,36.0757722,136.2132947,1.16
684882265,GPS,36.0757722,136.2132946,1.16
684902365,GPS,36.0757722,136.2132946,1.16
