TimeUS,GPS_Alt,EKF_Lat,EKF_Lon,EKF_Alt
375887072,0.53,36.0757787,136.2132966,0.5099999904632568
375987066,0.53,36.0757787,136.2132966,0.5099999904632568
376087087,0.53,36.0757786,136.2132966,0.5099999904632568
376187093,0.53,36.0757786,136.2132965,0.5099999904632568
376287040,0.53,36.0757786,136.2132965,0.5099999904632568
376387095,0.53,36.0757786,136.2132964,0.5099999904632568
376487077,0.53,36.0757786,136.2132964,0.5099999904632568
376587038,0.53,36.0757786,136.2132964,0.5099999904632568
376687090,0.53,36.0757786,136.2132963,0.5099999904632568
376787028,0.53,36.0757786,136.2132963,0.5099999904632568
376887087,0.53,36.0757785,136.2132963,0.5099999904632568
376987068,0.53,36.0757785,136.2132962,0.5099999904632568
377087038,0.53,36.0757785,136.2132962,0.5099999904632568
377187087,0.53,36.0757785,136.2132962,0.5099999904632568
377287093,0.53,36.0757785,136.2132962,0.5099999904632568
377387099,0.53,36.0757785,136.2132962,0.5099999904632568
377487080,0.53,36.0757785,136.2132961,0.5099999904632568
377587076,0.53,36.0757785,136.2132961,0.5099999904632568
377687087,0.53,36.0757785,136.2132961,0.5099999904632568
377787061,0.53,36.0757785,136.2132961,0.5099999904632568
377887087,0.53,36.0757785,136.2132961,0.5099999904632568
377987056,0.53,36.0757785,136.2132961,0.5099999904632568
378087087,0.53,36.0757785,136.2132961,0.5099999904632568
378187041,0.53,36.0757785,136.2132961,0.5099999904632568
378287093,0.53,36.0757785,136.2132961,0.5099999904632568
378387033,0.53,36.0757785,136.213296,0.5099999904632568
378487096,0.53,36.0757785,136.213296,0.5099999904632568
378587101,0.53,36.0757785,136.213296,0.5099999904632568
378687094,0.53,36.0757785,136.213296,0.5099999904632568
378787067,0.53,36.0757785,136.213296,0.5
378887101,0.53,36.0757785,136.213296,0.5
378987094,0.53,36.0757785,136.2132961,0.5
379087065,0.53,36.0757785,136.2132961,0.5
379187116,0.53,36.0757785,136.2132961,0.5
379287095,0.53,36.0757785,136.2132962,0.5
379387090,0.53,36.0757785,136.2132962,0.5
379467097,0.53,36.0757785,136.2132962,0.5
379587120,0.53,36.0757785,136.2132962,0.5
379667092,0.53,36.0757785,136.2132963,0.5
379767055,0.53,36.0757785,136.2132963,0.5
379867041,0.53,36.0757784,136.2132964,0.5
379967117,0.53,36.0757784,136.2132964,0.5
380067051,0.53,36.0757785,136.2132965,0.5
380187104,0.53,36.0757785,136.2132965,0.5
380287094,0.53,36.0757785,136.2132966,0.5
380387098,0.53,36.0757786,136.2132966,0.5
380487114,0.53,36.0757787,136.2132967,0.5
380587079,0.53,36.0757788,136.2132967,0.5
380687092,0.53,36.0757789,136.2132968,0.5
380787030,0.53,36.0757791,136.2132968,0.5
380887035,0.53,36.0757792,136.2132968,0.5
380987091,0.53,36.0757793,136.2132968,0.5
381087098,0.53,36.0757795,136.2132968,0.5
381187049,0.53,36.0757796,136.2132968,0.5
381287060,0.53,36.0757797,136.2132967,0.5
381387047,0.53,36.0757798,136.2132967,0.5
381487040,0.53,36.0757799,136.2132966,0.5
