TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,EKF_Lat,EKF_Lng,EKF_Alt,Guided_Lat,Guided_Lng,Guided_Alt
1263745498,36.0757789,136.2132966,0.53,,,,,,
1263765727,36.0757789,136.2132966,0.53,,,,,,
1263768374,,,,36.0757789,136.2132966,0.5099999904632568,,,
1263785474,36.0757789,136.2132966,0.53,,,,,,
1263825691,36.0757789,136.2132966,0.53,,,,,,
1263845532,36.0757789,136.2132966,0.53,,,,,,
1263865681,36.0757789,136.2132966,0.53,,,,,,
1263868389,,,,36.0757789,136.2132966,0.5099999904632568,,,
1263905472,36.0757789,136.2132966,0.53,,,,,,
1263925745,36.0757789,136.2132966,0.53,,,,,,
1263945550,36.0757789,136.2132966,0.53,,,,,,
1263965703,36.0757789,136.2132966,0.53,,,,,,
1263968411,,,,36.0757789,136.2132966,0.5099999904632568,,,
1264005514,36.0757789,136.2132966,0.53,,,,,,
1264025706,36.0757789,136.2132966,0.53,,,,,,
1264045529,36.0757789,136.2132966,0.53,,,,,,
1264065733,36.0757789,136.2132966,0.53,,,,,,
1264068327,,,,36.0757789,136.2132966,0.5099999904632568,,,
1264105538,36.0757789,136.2132966,0.53,,,,,,
1264125721,36.0757789,136.2132966,0.53,,,,,,
1264165831,36.0757789,136.2132966,0.53,,,,,,
1264168387,,,,36.0757789,136.2132966,0.5099999904632568,,,
1264185530,36.0757789,136.2132966,0.53,,,,,,
1264205511,36.0757789,136.2132966,0.53,,,,,,
1264225848,36.0757789,136.2132966,0.53,,,,,,
1264245528,36.0757789,136.2132966,0.53,,,,,,
1264268271,,,,36.0757789,136.2132966,0.5099999904632568,,,
1264285564,36.0757789,136.2132966,0.53,,,,,,
1264305547,36.0757789,136.2132966,0.53,,,,,,
1264325711,36.0757789,136.2132966,0.53,,,,,,
1264345515,36.0757789,136.2132966,0.53,,,,,,
1264368345,,,,36.0757789,136.2132966,0.5199999809265137,,,
1264385485,36.0757789,136.2132966,0.53,,,,,,
